"stats_id","match_id","home_shots","away_shots","home_shots_target","away_shots_target","home_corners","away_corners","home_fouls","away_fouls","home_yellow","away_yellow","home_red","away_red"
1,1,19,10,10,3,6,7,7,10,1,2,0,0
2,2,3,16,3,3,3,6,13,11,1,1,1,0
3,3,10,7,4,2,4,3,16,15,3,3,0,0
4,4,10,12,5,4,5,7,8,10,0,1,0,0
5,5,16,14,6,4,6,5,14,8,0,0,0,0
6,6,9,15,3,4,4,6,13,7,1,2,0,0
7,7,19,12,3,4,11,2,10,12,2,3,0,0
8,8,11,10,5,3,5,5,7,15,1,2,0,0
9,9,22,9,7,3,3,4,10,19,1,4,0,0
10,10,21,7,3,1,7,2,6,8,0,2,0,0
11,11,12,12,4,7,7,5,7,10,0,1,0,0
12,12,10,12,4,5,7,2,7,12,1,4,0,0
13,13,14,6,4,1,8,3,13,16,2,4,0,1
14,14,9,17,2,2,2,9,11,9,1,2,0,0
15,15,7,9,2,1,4,3,9,5,0,1,0,0
16,16,18,3,5,1,2,2,8,11,0,2,0,0
17,17,8,9,4,1,1,3,11,11,3,3,0,0
18,18,11,13,3,4,2,2,7,15,4,3,0,0
19,19,13,10,4,3,9,6,12,10,1,1,0,0
20,20,10,5,3,4,7,1,17,15,2,3,1,0
21,21,13,11,6,3,6,4,11,17,2,2,0,0
22,22,26,6,6,3,7,1,9,9,1,5,0,0
23,23,12,7,3,4,3,4,11,12,3,2,0,0
24,24,5,20,1,6,0,8,17,13,2,4,0,0
25,25,12,10,4,4,2,2,15,10,0,1,0,0
26,26,10,8,1,2,5,5,10,15,1,1,0,0
27,27,12,12,7,3,3,2,16,14,2,2,0,0
28,28,11,12,3,8,9,7,14,6,0,0,0,0
29,29,9,11,3,1,3,8,7,10,2,2,0,0
30,30,13,6,4,4,10,1,7,14,2,3,0,0
31,31,16,5,5,1,8,4,8,11,1,1,0,0
32,32,13,6,5,2,4,4,16,10,4,4,0,0
33,33,14,6,6,0,5,3,10,8,1,1,0,0
34,34,20,7,2,1,10,3,17,15,3,3,0,0
35,35,5,10,3,3,3,3,20,15,1,2,0,0
36,36,16,8,4,3,10,4,10,17,1,4,0,0
37,37,7,14,4,5,2,13,8,7,0,1,1,0
38,38,7,16,4,6,5,6,13,9,3,2,0,0
39,39,3,27,0,4,1,13,9,9,0,2,0,0
40,40,13,12,6,2,2,4,8,8,0,0,0,0
41,41,11,9,3,2,5,4,11,10,2,3,0,0
42,42,12,11,4,3,2,10,10,13,1,2,0,0
43,43,12,17,5,8,4,5,12,11,1,1,0,0
44,44,8,18,3,3,8,8,15,5,3,3,0,0
45,45,16,6,6,4,4,0,11,9,1,1,0,0
46,46,11,5,4,1,5,5,13,14,0,5,1,1
47,47,14,8,3,3,2,10,11,13,4,1,0,0
48,48,11,4,2,1,5,2,7,10,2,1,0,0
49,49,14,12,4,2,6,5,14,8,2,1,1,0
50,50,12,5,3,3,11,2,11,10,1,2,0,0
51,51,10,14,8,6,4,2,14,10,2,2,0,0
52,52,13,12,3,3,5,7,9,16,3,5,1,0
53,53,16,20,7,4,2,6,10,8,1,3,0,0
54,54,19,12,8,5,7,4,12,13,2,2,0,0
55,55,21,9,8,2,10,2,5,7,1,3,0,0
56,56,22,11,6,3,7,4,11,6,4,2,0,0
57,57,10,9,3,3,10,9,9,11,3,2,0,0
58,58,9,11,4,4,2,8,10,13,1,4,0,0
59,59,8,20,3,7,7,12,8,9,2,1,0,0
60,60,12,14,6,3,3,5,7,16,3,4,0,0
61,61,11,12,6,4,4,3,8,10,0,1,0,0
62,62,16,9,4,3,4,1,10,12,2,3,0,0
63,63,21,4,5,0,8,3,14,14,0,2,0,0
64,64,15,8,6,3,2,3,10,12,1,4,0,0
65,65,12,12,6,2,7,2,9,8,0,2,0,0
66,66,15,5,7,2,6,4,9,15,3,1,0,0
67,67,14,15,7,8,2,4,13,16,2,3,0,0
68,68,18,5,9,4,8,1,16,15,0,4,0,0
69,69,6,17,3,6,2,8,13,9,2,4,0,0
70,70,6,10,1,4,3,2,10,6,3,2,0,0
71,71,12,17,2,6,5,2,13,16,2,2,0,1
72,72,13,16,5,3,8,4,9,9,0,1,0,0
73,73,4,19,3,4,1,5,10,7,2,1,0,0
74,74,20,8,7,5,6,5,8,16,1,4,0,0
75,75,19,5,7,1,11,3,8,14,0,2,0,0
76,76,8,16,2,3,3,2,5,12,0,0,0,0
77,77,9,16,0,5,6,10,11,4,0,0,0,0
78,78,9,8,3,2,6,6,11,7,2,0,0,0
79,79,19,12,6,4,9,4,8,14,0,2,0,0
80,80,7,22,1,7,6,10,10,10,1,1,0,0
81,81,13,9,5,3,3,4,12,11,3,3,0,0
82,82,16,10,7,4,9,1,15,13,1,1,0,0
83,83,18,12,7,5,4,3,11,18,0,2,0,0
84,84,13,17,9,5,1,6,4,13,2,2,0,0
85,85,17,18,8,5,5,4,7,10,3,2,0,0
86,86,10,7,3,1,4,3,6,11,0,0,0,0
87,87,9,18,3,4,5,6,8,16,1,4,0,0
88,88,13,8,5,4,6,4,17,7,3,1,0,0
89,89,15,11,7,7,5,3,12,7,1,0,0,0
90,90,12,7,2,4,9,8,9,8,2,0,0,0
91,91,14,5,7,2,4,7,10,7,0,1,0,0
92,92,3,12,0,8,1,6,10,13,2,1,0,0
93,93,9,6,2,2,6,5,7,11,0,3,0,0
94,94,19,5,6,2,10,1,13,14,1,3,0,1
95,95,17,18,3,7,8,5,10,7,1,1,0,0
96,96,3,15,1,9,6,5,14,12,4,2,0,0
97,97,16,10,4,3,1,4,13,11,2,3,0,0
98,98,15,12,9,4,7,6,5,10,1,2,0,0
99,99,15,8,8,5,10,4,8,11,2,2,0,0
100,100,17,8,3,2,4,1,10,12,3,2,0,0
101,101,10,5,4,2,5,3,10,8,5,1,0,0
102,102,14,8,5,4,7,5,11,14,2,2,0,0
103,103,15,16,6,7,7,4,15,13,2,2,0,0
104,104,6,17,2,7,2,2,13,13,2,1,0,0
105,105,20,3,8,0,10,1,12,14,1,2,0,0
106,106,16,13,8,4,6,9,8,20,2,2,0,0
107,107,15,5,7,1,6,2,10,13,2,1,0,0
108,108,10,7,2,3,4,8,10,12,1,4,0,0
109,109,14,10,6,3,6,4,10,11,2,1,0,0
110,110,14,7,6,1,7,7,14,15,2,4,0,0
111,111,8,15,2,5,1,9,13,8,2,3,0,0
112,112,28,5,10,2,9,2,9,10,3,2,0,0
113,113,14,10,5,4,7,4,10,9,4,2,0,0
114,114,24,4,6,2,7,4,5,13,3,3,0,0
115,115,21,15,4,7,8,6,11,8,2,0,0,0
116,116,8,10,1,4,1,4,13,9,2,3,0,0
117,117,9,17,5,4,5,9,13,8,1,3,0,0
118,118,14,14,5,3,3,3,18,16,5,1,0,0
119,119,17,3,8,2,4,1,11,15,1,3,0,0
120,120,25,3,6,1,9,1,12,9,2,0,0,1
121,121,14,6,4,2,5,6,7,7,0,2,0,0
122,122,18,9,9,4,8,1,17,11,4,1,0,0
123,123,12,18,6,6,6,3,14,13,5,5,0,1
124,124,10,13,2,8,8,7,4,6,0,0,0,0
125,125,14,7,2,3,8,2,11,7,3,2,0,0
126,126,14,14,3,6,4,4,14,14,3,2,0,0
127,127,16,9,6,4,7,3,13,21,0,4,0,0
128,128,19,17,3,6,9,2,11,10,0,1,0,0
129,129,7,9,0,5,7,2,12,14,1,0,1,0
130,130,11,8,4,4,3,3,12,13,1,6,1,0
131,131,5,13,2,3,1,6,14,14,3,3,0,0
132,132,12,11,6,4,7,2,9,7,0,1,0,0
133,133,19,8,7,2,11,8,5,12,0,3,0,0
134,134,15,6,7,1,4,8,7,9,0,1,0,0
135,135,16,14,7,10,5,6,10,9,2,2,0,0
136,136,11,3,4,3,3,4,9,8,0,0,0,0
137,137,5,10,1,3,3,9,19,11,2,2,0,0
138,138,17,14,5,2,4,2,10,13,1,1,0,0
