"odds_id","match_id","avg_home_odds","avg_draw_odds","avg_away_odds","avg_over_25","avg_under_25","asian_handicap"
1,1,1.31,5.96,8.31,1.35,3.13,-1.5
2,2,2.3,3.56,2.94,1.61,2.25,-0.25
3,3,1.92,3.62,3.91,1.71,2.08,-0.5
4,4,3.17,3.38,2.26,1.88,1.88,0.25
5,5,1.37,4.8,8.3,1.66,2.16,-1.25
6,6,6.73,4.73,1.44,1.61,2.25,1.25
7,7,1.61,4.21,5.08,1.63,2.22,-0.75
8,8,2.15,3.36,3.43,1.92,1.83,-0.25
9,9,3.57,3.56,2.01,1.8,1.97,0.5
10,10,2.39,3.29,2.96,2.07,1.72,-0.25
11,11,4.68,3.88,1.71,1.72,2.09,0.75
12,12,1.48,4.7,6.08,1.46,2.62,-1.25
13,13,1.79,3.88,4.24,1.72,2.06,-0.75
14,14,3.11,3.53,2.21,1.77,2.0,0.25
15,15,2.25,3.16,3.42,2.26,1.6,-0.25
16,16,1.27,5.93,10.61,1.55,2.38,-1.75
17,17,2.35,3.26,3.07,2.05,1.73,-0.25
18,18,3.08,3.3,2.32,2.01,1.76,0.25
19,19,3.27,3.53,2.13,1.77,1.99,0.25
20,20,3.3,3.83,2.02,1.53,2.43,0.25
21,21,1.55,4.35,5.6,1.67,2.16,-1.0
22,22,1.35,5.15,8.28,1.65,2.17,-1.5
23,23,2.92,3.27,2.46,2.04,1.73,0.0
24,24,1.73,4.06,4.29,1.54,2.38,-0.75
25,25,2.66,3.19,2.74,2.17,1.65,0.0
26,26,3.37,3.49,2.12,1.76,2.01,0.25
27,27,3.78,3.84,1.85,1.57,2.32,0.5
28,28,1.69,3.74,5.03,1.94,1.82,-0.75
29,29,2.2,3.49,3.17,1.73,2.06,-0.25
30,30,1.88,3.56,4.07,1.95,1.81,-0.5
31,31,1.38,4.85,8.16,1.69,2.11,-1.25
32,32,2.38,3.5,2.87,1.67,2.14,-0.25
33,33,1.66,3.76,5.42,2.08,1.71,-0.75
34,34,2.44,3.27,2.95,2.02,1.76,-0.25
35,35,1.96,3.51,3.89,1.98,1.78,-0.5
36,36,1.43,4.62,7.45,1.74,2.04,-1.25
37,37,3.36,3.56,2.1,1.76,2.02,0.25
38,38,4.54,3.92,1.73,1.7,2.11,0.75
